iter	Passed	Remaining
0	508	507562
1	564	281668
2	631	209725
3	858	213838
4	1102	219491
5	1172	194195
6	1451	205930
7	1661	206004
8	1766	194501
9	2011	199135
10	2232	200760
11	2349	193423
12	2580	195902
13	2804	197531
14	2952	193908
15	3196	196575
16	3401	196700
17	3513	191691
18	3738	193008
19	3943	193223
20	4043	188498
21	4182	185917
22	4514	191778
23	4627	188175
24	4810	187622
25	5115	191637
26	5247	189112
27	5465	189724
28	5758	192805
29	5872	189865
30	6172	192949
31	6335	191659
32	6456	189181
33	6832	194136
34	6942	191421
35	7054	188911
36	7372	191877
37	7496	189780
38	7610	187540
39	7858	188615
40	8052	188343
41	8164	186236
42	8395	186857
43	8618	187260
44	8731	185297
45	8944	185501
46	9193	186409
47	9315	184748
48	9521	184788
49	9763	185509
50	9874	183746
51	10117	184454
52	10347	184882
53	10457	183196
54	10661	183188
55	10911	183936
56	11012	182181
57	11204	181979
58	11492	183296
59	11600	181737
60	11743	180770
61	12081	182779
62	12198	181434
63	12358	180740
64	12634	181736
65	12758	180545
66	12897	179603
67	13163	180418
68	13302	179493
69	13428	178405
70	13688	179109
71	13863	178679
72	13971	177414
73	14221	177954
74	14417	177816
75	14525	176600
76	14706	176283
77	14978	177050
78	15098	176021
79	15228	175127
80	15542	176339
81	15657	175282
82	15782	174373
83	16094	175504
84	16220	174611
85	16342	173684
86	16670	174943
87	16820	174319
88	16977	173781
89	17290	174827
90	17398	173791
91	17533	173050
92	17854	174130
93	17968	173185
94	18099	172424
95	18418	173436
96	18565	172830
97	18735	172446
98	19031	173208
99	19146	172316
100	19330	172061
101	19631	172834
102	19748	171983
103	19948	171859
104	20207	172243
105	20325	171420
106	20565	171633
107	20796	171762
108	20927	171066
109	21264	172052
110	21419	171547
111	21537	170757
112	21814	171235
113	22021	171151
114	22145	170422
115	22539	171766
116	22655	170982
117	22866	170919
118	23149	171385
119	23263	170600
120	23627	171642
121	23799	171278
122	24023	171288
123	24282	171544
124	24400	170804
125	24579	170492
126	24849	170816
127	24978	170168
128	25137	169725
129	25421	170130
130	25542	169440
131	25720	169132
132	26024	169649
133	26146	168974
134	26305	168550
135	26600	168994
136	26699	168187
137	26890	167968
138	27171	168308
139	27436	168539
140	27580	168023
141	27969	168999
142	28103	168423
143	28312	168301
144	28575	168494
145	28717	167980
146	29126	169011
147	29282	168569
148	29723	169760
149	29899	169430
150	30238	170019
151	30406	169636
152	30638	169615
153	30882	169651
154	31014	169081
155	31353	169631
156	31521	169253
157	31674	168796
158	32005	169288
159	32116	168613
160	32223	167921
161	32610	168688
162	32722	168030
163	32946	167944
164	33217	168101
165	33338	167497
166	33667	167932
167	33870	167741
168	33933	166858
169	34220	167077
170	34400	166774
171	34508	166120
172	34750	166119
173	34964	165980
174	35110	165520
175	35459	166016
176	35564	165364
177	35696	164844
178	35976	165011
179	36149	164681
180	36265	164095
181	36588	164449
182	36765	164139
183	36954	163883
184	37256	164129
185	37379	163584
186	37654	163708
187	37861	163531
188	37996	163041
189	38331	163412
190	38494	163047
191	38753	163086
192	39019	163154
193	39147	162644
194	39396	162637
195	39614	162498
196	39755	162050
197	40090	162386
198	40228	161925
199	40350	161400
200	40674	161687
201	40810	161222
202	40864	160439
203	41070	160256
204	41311	160208
205	41418	159642
206	41639	159516
207	41893	159518
208	42028	159063
209	42447	159685
210	42560	159149
211	42720	158790
212	43029	158987
213	43147	158477
214	43296	158081
215	43608	158283
216	43731	157795
217	43908	157506
218	44197	157617
219	44309	157096
220	44452	156690
221	44748	156822
222	44925	156533
223	45156	156436
224	45396	156366
225	45522	155903
226	45788	155922
227	46013	155799
228	46129	155308
229	46399	155336
230	46578	155060
231	46691	154566
232	47007	154740
233	47169	154409
234	47300	153979
235	47572	154006
236	47754	153740
237	47874	153279
238	48171	153382
239	48358	153136
240	48538	152865
241	48834	152959
242	48945	152476
243	49062	152012
244	49403	152243
245	49516	151769
246	49630	151302
247	49939	151428
248	50101	151109
249	50277	150833
250	50610	151025
251	50722	150556
252	50892	150263
253	51163	150266
254	51293	149857
255	51615	150008
256	51803	149767
257	51933	149359
258	52208	149367
259	52383	149091
260	52531	148737
261	52852	148873
262	53005	148535
263	53166	148221
264	53495	148374
265	53643	148023
266	53841	147811
267	54075	147698
268	54201	147289
269	54442	147197
270	54702	147150
271	54879	146883
272	55222	147058
273	55398	146786
274	55820	147164
275	56237	147521
276	56466	147383
277	56685	147220
278	56963	147207
279	57083	146785
280	57284	146576
281	57561	146556
282	57673	146119
283	57874	145909
284	58119	145808
285	58264	145456
286	58430	145161
287	58709	145142
288	58825	144724
289	58986	144415
290	59271	144411
291	59382	143981
292	59497	143564
293	59786	143568
294	59983	143350
295	60163	143092
296	60432	143044
297	60558	142659
298	60744	142413
299	61010	142358
300	61146	141997
301	61340	141773
302	61607	141717
303	61725	141318
304	61915	141085
305	62199	141066
306	62313	140661
307	62506	140436
308	62755	140337
309	62863	139922
310	63051	139686
311	63317	139622
312	63437	139237
313	63592	138930
314	64032	139244
315	64359	139309
316	64575	139132
317	64697	138754
318	65064	138900
319	65192	138533
320	65425	138391
321	65705	138347
322	65848	138016
323	66225	138173
324	66344	137791
325	66507	137502
326	66805	137491
327	66906	137077
328	67026	136701
329	67318	136676
330	67485	136398
331	67603	136021
332	67921	136047
333	68058	135710
334	68186	135355
335	68481	135331
336	68652	135064
337	68777	134705
338	69120	134775
339	69265	134456
340	69548	134406
341	69788	134270
342	69927	133943
343	70237	133942
344	70393	133645
345	70500	133258
346	70753	133146
347	70942	132914
348	71072	132574
349	71349	132506
350	71519	132240
351	71659	131918
352	71919	131817
353	72090	131554
354	72199	131178
355	72437	131038
356	72656	130863
357	72775	130507
358	73028	130393
359	73235	130196
360	73349	129835
361	73553	129632
362	73790	129488
363	73904	129130
364	74054	128834
365	74383	128850
366	74489	128479
367	74680	128255
368	74940	128151
369	75057	127800
370	75202	127499
371	75482	127427
372	75603	127086
373	75735	126765
374	76008	126681
375	76162	126397
376	76271	126040
